# setID,﻿BGC_PaThWs,BGC_PaDesConst,BGC_ThDesConst,BGC_sigmaPaPOC,BGC_sigmaPaCa,BGC_sigmaPaOp,BGC_sigmaPaDu,BGC_sigmaPaNeph,BGC_sigmaThPOC,BGC_sigmaThCa,BGC_sigmaThOp,BGC_sigmaThDu,BGC_sigmaThNeph
1000,768.7288836940697,3.1505764149137216,4.082090527723548,0.0184612692920691,0.1536525705237047,0.0793768466232873,0.0063697969982382,0.0005173287703163,0.0799766188192845,4.1284264961850345,0.1491979963253415,0.0446031600338008,0.0370219296480467
1001,3649.7885829973743,4.620634171731711,3.508208613924681,0.0046676329960336,0.0387046728850379,0.0812664786148957,0.0223537793958902,0.0065332746013905,0.0442722435276444,0.357777075620194,0.1786982075955951,0.0484209009496335,0.0111525810529576
1002,664.3437320324123,3.0681901086111774,4.196782733350439,0.0188890920272763,0.0309268978226156,0.0977891104670957,0.0013903745771414,0.0009481448413189,0.0314449919191005,2.733750391452382,0.1727612927530972,0.022868655567192,0.0040426195689697
1003,4043.612840748471,3.8700753645362793,2.9762503942477347,0.0155989159577509,0.1123394777340336,0.1928991805317512,0.0117346097179634,0.0093825951750118,0.1110214115899194,4.933551930671499,0.0247477142968784,0.0330353198947459,0.0232754016235543
1004,2844.585771186513,4.68871285551869,3.518718863262357,0.0082704593324864,0.1949065092894927,0.1997499058813665,0.0218210404719457,0.0027752243033693,0.1031878755663151,5.338170731198279,0.1767073722740691,0.0516541186338541,0.0502823663498325
1005,4224.661740500702,4.585276779843221,3.931802330237647,0.021595834489591,0.0749244740574129,0.0215915822476965,0.0238648261061614,0.0078552863860188,0.038467991429511,2.062508357998893,0.0578262441392436,0.0445380031361114,0.0165093078323098
1006,2164.7550469257785,3.143026237108531,1.2700737962309774,0.0097714059073344,0.0236462111387892,0.0474741794523097,0.0274881368073279,0.017721699754257,0.0699626284655796,0.4409625414812845,0.1348981290631037,0.043191149482412,0.0338787937736663
1007,3727.978752193495,4.285228548300468,1.1401511907578703,0.0068446172806582,0.1960024005449032,0.0352407741085545,0.0123722918035248,0.0109343628161824,0.0480019342115097,6.522341440009075,0.160095783492258,0.0532318599220384,0.0284380810427548
1008,2924.4529429582158,1.7408571291745265,4.617484967133825,0.0028585305644601,0.1367469167672551,0.0930481150113591,0.0065998543514188,0.0051109212809927,0.098247980351178,4.310480488862114,0.0795625346260888,0.0194508281137609,0.0116067887971543
1009,2524.4544057797284,4.105519153294253,4.675764207106446,0.0161566330553421,0.1681918117665704,0.1426997662059265,0.0190412723748369,0.0001881090178727,0.0955934584151676,4.590225779497834,0.0169807796798324,0.0335261814462835,0.003479491724677
1010,2908.047321747268,3.323769123603875,1.496401121338562,0.0196970222571466,0.0876932290545863,0.1677692898475971,0.0141300290727633,0.0125418524470104,0.1397062994010759,6.9188020109284025,0.0870001392451373,0.0512440186117372,0.0182746041079832
1011,4011.9242296241896,3.8145838532327065,4.274946422223028,0.015621631974746,0.0443753796451573,0.1319473510375259,0.0167962443692116,0.013663469477343,0.058283619946593,4.6725970338224965,0.0451698113434178,0.0338223805710544,0.0164114337646674
