# setID,BGC_sigmaPaPOC,BGC_sigmaPaCa,BGC_sigmaPaOp,BGC_sigmaPaDu,BGC_sigmaPaNeph,BGC_sigmaThPOC,BGC_sigmaThCa,BGC_sigmaThOp,BGC_sigmaThDu,BGC_sigmaThNeph
0,0.0416638886138722,0.02769370962444087,0.003618429433930803,0.025604960404533004,0.007500245390974116,0.17156216253682027,0.10815381459606532,0.18425021183608795,0.007954283284716356,0.079775755831109
1,0.03277673162529497,0.009551978256460921,0.09157132382470391,0.009171585017217309,0.007581695766675798,0.058783938698021856,0.36762774020028344,0.11014745471488852,0.118523452843315,0.0012032128358035847
2,0.03024000197316332,0.054181767601876527,0.17983989270323228,0.022318879719235806,0.020960443874303823,0.1345421078951578,1.7162273947758528,0.1307257495952219,0.10345739219259892,0.0456422637820064
3,0.011025273769979187,0.06481717724371994,0.0062397639361057005,0.034878441762913215,0.05174724912833756,0.23528073557049994,1.8070281211205155,0.076880242233575,0.11870110960618373,0.05494705366544651
4,0.03046236552895528,0.007851971805283431,0.14934631814199942,0.0033793265515433784,0.002312097134901469,0.042884384829405924,0.33264649076987124,0.2134074176595257,0.034687636202257704,0.09985445686356934
5,0.03850287392749599,0.06420659378151748,0.08623588320857863,0.028332537502794578,0.042831959861510296,0.12441255558292637,1.4981362067217248,0.22804132218305312,0.11680734492762472,0.07531454867102104
6,0.01797592295303335,0.04972513416467404,0.06726317619157925,0.0539558261407064,0.005999706373446513,0.1298350121993033,1.7070135632558696,0.17833054869683676,0.09611560067100333,0.09549625819697097
7,0.043482010887432615,0.03918793413444843,0.13043103502725198,0.040692727802499315,0.003914738764548925,0.19962810275157097,0.94203133261214,0.11605085549376784,0.04233178004443607,0.0007333067699087421
8,0.018919519242280865,0.03651269410532633,0.14942264906985533,0.0014070195814635156,0.023903514181681552,0.045275985823585906,1.095382284529598,0.15998871509314574,0.009068257723844864,0.10300513854410165
9,0.012310177662466136,0.032470120329907495,0.042048270088855734,0.02484319699195761,0.011982984103449754,0.19020731824817555,0.18896437962102988,0.1560675110462271,0.01628890755870357,0.10880667467064045
10,0.020458531293984426,0.04916336552480003,0.16558414022550952,0.010749277937182838,0.0011505000140670592,0.2674976776817876,1.2215253065311138,0.21105147621998713,0.10470812155391027,0.028722895626792474
11,0.02020011996117308,0.022296467590254894,0.12448710914129635,0.0012650091597892895,0.0343240842975979,0.08151821213873094,1.421017352906312,0.0972451422338839,0.09083638346771475,0.007156964465833904
12,0.039278574941533875,0.0036837838576524546,0.16778955541962665,0.013919603138517554,0.011020456275966477,0.05346872558274293,0.38693798399798796,0.17086976545344545,0.05006893001493695,0.06199075333414288
13,0.02891319073340788,0.010548911609279985,0.05928854810056506,0.006211068322953432,0.03879482277941062,0.08191966627073921,1.6709152305870825,0.2430988014629416,0.08967875441036127,0.08905228104145776
14,0.0329326804630073,0.004766766655374295,0.030056474523891916,0.04691416610266187,0.010442865809666493,0.11569408272254984,0.9801061649141836,0.047642841442185224,0.012421339023955537,0.08423613143053264
15,0.01661563046917409,0.0487895984194853,0.031096479516284685,0.0057326824360023785,0.04076156057819918,0.12030298500318298,0.8288128307933633,0.00799014713429759,0.11158076352031561,0.0008809425485851179
16,0.015367107053241562,0.020688492562836985,0.012804006178717773,0.023600771374786663,0.0014386391990459464,0.06741107342283936,1.333109362056288,0.1542804673615648,0.05930359233732464,0.07960744341029757
17,0.015944479988501372,0.007797558455346229,0.10187267450849434,0.013877365512804473,0.03184146522150298,0.13667201364908568,1.1692063391127663,0.11367630859965294,0.031246647306524288,0.025531803093045837
18,0.022385722133616795,0.06137457703771096,0.07186113010080636,0.05182245304034458,0.02488291374967,0.04113927804728943,0.8151507488416968,0.09401995068882045,0.014685078779527511,0.01907074392500233
19,0.03778102966583214,0.004740882733485231,0.14127139597935007,0.037892452084479646,0.0018783504245539991,0.09525580642298835,0.02786785735544141,0.1986900003301465,0.07347471566626412,0.11455384816232257
20,0.043786309970592796,0.04079562721164384,0.04562510250616871,0.02124586084508233,0.04586000607365799,0.24501330011111505,0.2770958385952733,0.0638023501992857,0.112969708280094,0.07909379058651943
21,0.04417706438673259,0.02854803160656378,0.08506509857663934,0.03312984716019566,0.0012875250812325618,0.19538716088238092,1.6437069638712418,0.21176655264615168,0.07859837255264604,0.059591391267849125
22,0.038889469109965824,0.05617219026314381,0.11525610782979959,0.00019683075964757948,0.05078772882389868,0.033967871619901044,0.7002637313143675,0.04902754012336854,0.11509363719888902,0.051495150302599636
23,0.03971365442045974,0.005732408811629776,0.101516026229086,0.015290319146563872,0.04034403243203165,0.12348438704088716,0.25679650848919194,0.08919872054049165,0.0019480224526054702,0.02724575119878207
24,0.01903600730867718,0.06864456942102307,0.12296742291801713,0.034477813327677166,0.012807198098890919,0.1478651600717079,1.8903042666660126,0.15766195269536654,0.11482564936148804,0.010831498158057368
25,0.04103753682690539,0.008275839957255336,0.11953025599397545,0.0174064609776123,0.04141595209418952,0.08882494973874255,1.5226732768217064,0.22128292416760267,0.0679999836902509,0.02918585878091627
26,0.043083028271014207,0.0280126130860325,0.06280980638460747,0.015505063568399851,0.045498963557225526,0.06117087583694546,0.5381219824881455,0.2381965476107539,0.06110510982407621,0.01793754867214454
