# setID,BGC_PaThWs,BGC_PaDesConst,BGC_ThDesConst,BGC_sigmaPaPOC,BGC_sigmaPaCa,BGC_sigmaPaOp,BGC_sigmaPaDu,BGC_sigmaPaNeph,BGC_sigmaThPOC,BGC_sigmaThCa,BGC_sigmaThOp,BGC_sigmaThDu,BGC_sigmaThNeph
0,821.5313929579579,1.0486810080603683,0.9946269023532399,0.015352860848233668,0.03920273190412332,0.02320458454766488,0.025231392867214226,0.018609246361727488,0.08723150645123778,6.804294704838198,0.1608511839885716,0.014811267324666352,0.04764688519656161
1,768.7288836940697,3.1505764149137216,4.0820905277235475,0.018461269292069166,0.1536525705237047,0.0793768466232873,0.006369796998238222,0.0005173287703163027,0.07997661881928456,4.1284264961850345,0.1491979963253415,0.044603160033800826,0.037021929648046736
2,4413.960451698102,4.425442591361163,4.2952792801750235,0.01631555012979804,0.18400164644185907,0.1946206680549874,0.017425449205458642,0.017216341712548936,0.12100537869304187,5.349577779554306,0.09541168756927954,0.00302420569207979,0.02438626833418431
3,1620.6575719185453,2.8258750321022292,3.412330864382769,0.006355336719501982,0.19789609706154568,0.19428154086518132,0.02213201459344843,0.0012622944765268418,0.11302145828792814,7.908429577973238,0.12369312595063355,0.01720081933875636,0.013824232704702953
4,3233.954355846712,2.312235673912209,1.8396097214572062,0.009044306744940982,0.0097936913112315,0.16497079048013286,0.019106871858850773,0.02442782636270882,0.12165489006935522,0.19580620029811055,0.1736700822619926,0.050807608516720025,0.03193756856210724
5,3423.3314671066373,3.3561690440694476,0.6749513509318894,0.021194141067294434,0.05602600225774488,0.16845429173175264,0.020488756173854275,0.027431345019376732,0.04062087504215001,2.8941841223249236,0.1717037344677771,0.04651042861924554,0.028561011091980965
6,3649.7885829973743,4.6206341717317105,3.5082086139246815,0.0046676329960336355,0.03870467288503793,0.08126647861489575,0.022353779395890266,0.006533274601390534,0.044272243527644445,0.35777707562019406,0.17869820759559513,0.04842090094963354,0.011152581052957638
7,664.3437320324123,3.0681901086111774,4.196782733350439,0.018889092027276316,0.030926897822615627,0.09778911046709572,0.0013903745771414225,0.0009481448413189948,0.03144499191910051,2.733750391452382,0.17276129275309723,0.022868655567192007,0.00404261956896977
8,918.8468375523667,2.354166743643062,1.7853155572912904,0.021989909284591314,0.16734642728462062,0.15001349361292945,0.02357647801493729,0.013070817496249594,0.06811521355918698,5.669203832758923,0.18192179403120393,0.03853549122366185,0.04928814359970443
9,4305.935072333752,3.165162552296744,3.0124150717211884,0.004409009410197529,0.02604427832452012,0.06625114381033077,0.002805275101019351,0.000968529144077313,0.10513585917351226,7.398340978400222,0.11882521307248366,0.0016061913088844188,0.03995372138905293
10,4856.051461679432,2.5906189648537286,3.3706044453112476,0.005649972513068376,0.07365950363626124,0.035812023024149174,0.02153336163587863,0.02406490555306322,0.03350842889432707,0.5111366648285085,0.10125012721018335,0.052477470731348674,0.014244456967892977
11,2034.3506263730387,0.6847540183918006,2.2147315841197193,0.006596650499932794,0.2330230263418067,0.08787495533616499,0.015464275126584796,0.014006122957251583,0.06504552282633368,3.4479568271575287,0.04988216924519247,0.0026125545816141696,0.047855352318069394
12,3296.9805684251746,2.4106062236945087,3.52223093583435,0.01026072922701662,0.023537371945577684,0.12556026607124418,0.011518402376676453,0.013199664629702212,0.10701380387548695,5.604485628114824,0.1095356034345862,0.011829114411532043,0.05285888640831351
13,3593.0538352462377,2.0117063200229834,0.9004108285632342,0.013414711110197404,0.08585671995214855,0.059157797299329316,0.004629527701277779,0.016910373791990917,0.12454685219552579,6.745605534982904,0.03670399775839628,0.005025769157775092,0.04075780702689315
14,4593.055446875934,0.9722841061993814,2.7067455364139166,0.0049538578361546645,0.10665609361216427,0.0990345555653442,0.0017547389057050665,0.022634218308986685,0.10462750322362831,4.0734884900238395,0.13787456960607133,0.049440791160349655,0.022547387478710382
15,3839.1121158828705,0.9428908818256142,3.11283126728686,0.021270466448087787,0.1052769644277643,0.16954104544991364,0.0074392121600406706,0.02387497812977692,0.04180886589226848,1.8688798995579152,0.03300826312651189,0.005658282557302727,0.019514027445274994
16,4043.6128407484707,3.8700753645362793,2.9762503942477347,0.0155989159577509,0.11233947773403367,0.1928991805317512,0.011734609717963468,0.009382595175011822,0.1110214115899194,4.933551930671499,0.024747714296878456,0.033035319894745944,0.023275401623554362
17,2087.5871163392517,0.6963063702565137,4.597282998551582,0.01632597811522237,0.01608269484294648,0.14172168879947544,0.01126972412503636,0.018278418722030586,0.11971413225815006,3.8802874024824665,0.1426397781787512,0.03979169540664422,0.028490082348011984
18,4341.981006586154,3.2448265850482083,0.5379473384390054,0.009301637309277275,0.010897520871116166,0.1224909600615437,0.008073354384974297,0.018353521985930574,0.06848722845212296,1.562495213647855,0.02213964989244585,0.0410141641853822,0.022588971169206884
19,1818.7466206631443,3.356523444695964,0.9052509736104397,0.022188092777560744,0.09573159857637122,0.0022886935482795538,0.008682412500295061,0.010704841172066076,0.13862321544656786,7.812745076103723,0.14597495741699662,0.0038908720417626386,0.019951297157815972
20,4365.791729448054,0.6400750726390698,1.0170439572213719,0.00586099171500756,0.10655032589017703,0.07167207816208102,0.019704008637491794,0.0080399128858956,0.049817896197332165,3.4112759420038845,0.14740488856116354,0.013494381822012487,0.03548528645042736
21,1401.965815568606,1.05331604473943,4.089890720219181,0.018504611391895902,0.09674248136860167,0.007164744710289096,0.015894516684548967,0.002674715938745561,0.06984403613763954,1.8173409485536025,0.1560919313301992,0.022370705175182193,0.04102856534961292
22,4057.727823963462,1.9269256491419051,3.770728548799174,0.01041939120524479,0.014599844117832602,0.17315358509449807,0.01763262430312985,0.013372872231348037,0.11239712614979305,0.7924479308282709,0.10563237392577006,0.016028673892208283,0.01353391619131541
23,3470.6942008661645,0.6326381395403444,1.9173115281915374,0.016546948061082943,0.07907923699361216,0.10871219836753744,0.007224858489426121,0.00892337993392766,0.09650476960627913,4.975437048985711,0.13565343430202573,0.006199503428873668,0.02650751195916592
24,3204.990349692594,1.626377549217437,2.3581338417951043,0.021076395675988957,0.2158706755422658,0.03590766738225314,0.024221287598662416,0.02515371921015697,0.11949669002167702,2.268920829462098,0.10654869796116302,0.028819660113093424,0.009369615291195944
25,2663.7173388852734,4.953019863096364,4.995983608935488,0.007304387233547026,0.16946484101362652,0.10241912309603995,0.017621596201682594,0.01974463878884853,0.11169827872352739,2.956414486067882,0.1833073052321588,0.010881749087553287,0.016312617075520952
26,2844.585771186513,4.68871285551869,3.518718863262357,0.008270459332486449,0.19490650928949277,0.1997499058813665,0.02182104047194572,0.0027752243033693147,0.10318787556631517,5.338170731198279,0.17670737227406916,0.05165411863385418,0.05028236634983253
27,3057.541867049666,1.9167707548807942,3.938171970126167,0.00729719155590889,0.20759618666079704,0.0613381735953578,0.0019833428629913996,0.01964063308763326,0.029855880461652235,1.59031608538292,0.1263489324216592,0.010946485837163856,0.040637227379579303
28,3268.8539771280334,3.1594570523879972,4.802786062703815,0.020998767831815392,0.1531123345985284,0.15377327611785077,0.008162205739017627,0.027277122842203697,0.11136609548299407,4.798406862017025,0.17640872602390392,0.041368760307741156,0.038128101309983196
29,4224.661740500702,4.585276779843221,3.931802330237647,0.02159583448959101,0.07492447405741293,0.021591582247696577,0.023864826106161422,0.007855286386018864,0.03846799142951105,2.062508357998893,0.05782624413924369,0.04453800313611147,0.01650930783230989
30,3646.6225537336127,1.5754480032639022,0.5321468612870733,0.02204809380329451,0.1185033446939726,0.12696260230347067,0.02363116538720765,0.00024720404333448254,0.10182113447125414,2.3821438100932473,0.045688687713570694,0.05179515149981113,0.0530913205550849
31,2868.4296665061224,3.8178484815522027,1.6670429974764367,0.01773549485987891,0.18834557990058323,0.018455763583948435,0.00015580681619296427,0.01391068888243487,0.03363674411394082,4.978092220279304,0.04276279814304522,0.01207650109621231,0.038579674835821295
32,2164.7550469257785,3.143026237108531,1.2700737962309774,0.009771405907334418,0.023646211138789203,0.04747417945230978,0.027488136807327923,0.01772169975425708,0.0699626284655796,0.44096254148128455,0.13489812906310372,0.04319114948241208,0.033878793773666344
33,4450.398109987402,1.989568137265619,4.523734067232739,0.012499479177428776,0.17851554777375703,0.21659227773465473,0.006489099606727087,0.02428752089963144,0.09814323925636191,5.882160424446235,0.16944398871552716,0.04279231800651719,0.052133052621472414
34,4356.3916251225255,4.7157042520765255,4.789726823597604,0.010393213551435831,0.15815500985402764,0.07464127620591418,0.0032367482875912167,0.018594362818441647,0.08074263313046487,1.8659262945980781,0.15131388243715324,0.05253212416092576,0.04628631869149032
35,3727.978752193495,4.285228548300468,1.1401511907578705,0.0068446172806582925,0.19600240054490325,0.035240774108554584,0.012372291803524877,0.010934362816182474,0.048001934211509736,6.522341440009075,0.160095783492258,0.05323185992203847,0.028438081042754842
36,1980.692956915653,4.1105964345993975,1.4410280248830718,0.005728550247841123,0.08650196527022834,0.05239554318536284,0.006058950462225984,0.027563461717187338,0.06925395109610921,0.44392392062542557,0.15966502736701546,0.0032335470352258737,0.0336234655321086
37,1217.8641986430812,2.0138552528836877,4.686110987531788,0.004549112114294342,0.12289763225543399,0.14223200842847852,0.02434674935275,0.010605096618274907,0.09681732449129712,5.392308830427941,0.05199200888035625,0.03076256089768287,0.045577188880491934
38,2354.1808417854336,1.0353629394774013,4.032162753773234,0.002879109556482725,0.0856578661688839,0.1614847333438548,0.020692321259624245,0.021828610182076855,0.04076637778378856,3.3528342881078688,0.02198194214586395,0.04094066433910965,0.007811447961606845
39,583.4811339475692,3.9014133151279182,2.632448803393097,0.010815733801955761,0.021888200364273448,0.2117630499389099,0.010370544836709248,0.023029602167489394,0.0334145688191693,6.1156034419991885,0.03199796015444225,0.040834844124663684,0.04072311475042464
40,4454.617408898895,3.1056398279075155,2.4227920559892593,0.022306289769585805,0.22042613663762428,0.19472003281517244,0.02388082036047545,0.020917193625766144,0.13712933020002388,0.5982221360044829,0.1258297384305898,0.00362422229683851,0.04752817227525432
41,2394.164273298209,1.3161405256085552,3.2523815503772036,0.00848238423292207,0.12365752810564765,0.017282495919119702,0.0033648934484423717,0.026277144696290777,0.07919964132812342,6.986448564551803,0.19838625161779042,0.0055614857996092865,0.051207395150398384
